Year,Grade_Level,Assessment,Program,Board,Sex,Adaptation,IPP,Exemption,Eligible,Math_Score,Math_Level
2012-13,6,M,English,HRSB,M,,,,Yes,539,Level 3
2012-13,6,M,English,SRSB,F,,,,Yes,556,Level 3
2012-13,6,M,English,HRSB,M,,Yes,,No,,Did not participate
2013-14,6,M,English,HRSB,F,,,,Yes,541,Level 3
2012-13,6,M,English,HRSB,M,,Yes,,No,,Did not participate
2012-13,6,M,English,HRSB,F,,,Yes,No,,Did not participate
2012-13,6,M,English,SSRSB,M,,,,Yes,410,Level 2
2012-13,6,M,English,SSRSB,M,,Yes,,No,,Did not participate
2012-13,6,M,French Immersion,HRSB,F,,,,Yes,586,Level 3
2012-13,6,M,English,HRSB,F,,Yes,,No,,Did not participate
2012-13,6,M,English,HRSB,M,,Yes,,No,,Did not participate
2012-13,6,M,English,HRSB,F,Yes,,,Yes,370,Level 1
2012-13,6,M,French Immersion,HRSB,F,,,,Yes,511,Level 3
2012-13,6,M,French Immersion,HRSB,M,,,,Yes,475,Level 3
2012-13,6,M,English,TCRSB,M,,,,Yes,298,Level 1
2012-13,6,M,English,HRSB,F,,Yes,,No,,Did not participate
2012-13,6,M,English,HRSB,M,,,,Yes,431,Level 2
2012-13,6,M,English,HRSB,M,,Yes,,No,,Did not participate
2012-13,6,M,English,HRSB,M,,,,Yes,354,Level 1
2012-13,6,M,English,HRSB,M,,,,Yes,482,Level 3
2012-13,6,M,English,HRSB,F,,,,Yes,493,Level 3
2012-13,6,M,English,HRSB,M,,,,Yes,531,Level 3
2012-13,6,M,English,HRSB,M,,Yes,,No,,Did not participate
2012-13,6,M,English,HRSB,M,,,,Yes,471,Level 3
2012-13,6,M,English,HRSB,M,,,,Yes,489,Level 3
2012-13,6,M,English,HRSB,F,,,,Yes,422,Level 2
2012-13,6,M,English,HRSB,F,,,,Yes,512,Level 3
2012-13,6,M,English,HRSB,M,,,,Yes,565,Level 3
2012-13,6,M,English,HRSB,M,,,,Yes,337,Level 1
2012-13,6,M,English,HRSB,M,,,,Yes,480,Level 3
2012-13,6,M,English,HRSB,M,,,,Yes,435,Level 2
2012-13,6,M,English,CBVRSB,F,,,,Yes,426,Level 2
2012-13,6,M,English,HRSB,F,,,,Yes,659,Level 4
2012-13,6,M,English,HRSB,F,,,,Yes,502,Level 3
2012-13,6,M,English,HRSB,M,,,,Yes,619,Level 3
2012-13,6,M,English,HRSB,M,,,,Yes,523,Level 3
2012-13,6,M,English,HRSB,F,,,,Yes,446,Level 3
2012-13,6,M,English,CCRSB,M,,,,Yes,602,Level 3
2012-13,6,M,English,HRSB,F,,,,Yes,429,Level 2
2012-13,6,M,English,HRSB,M,Yes,,,Yes,345,Level 1
2012-13,6,M,English,AVRSB,F,,,,Yes,316,Level 1
2012-13,6,M,English,HRSB,M,,,,Yes,320,Level 1
2012-13,6,M,English,HRSB,M,,,,Yes,494,Level 3
2012-13,6,M,English,HRSB,F,Yes,,,Yes,366,Level 1
2012-13,6,M,English,HRSB,F,,Yes,,No,,Did not participate
2012-13,6,M,English,HRSB,F,,,,Yes,356,Level 1
2012-13,6,M,English,HRSB,M,,,,Yes,426,Level 2
2012-13,6,M,English,AVRSB,F,,Yes,,No,,Did not participate
2012-13,6,M,English,HRSB,M,,,,Yes,485,Level 3
2012-13,6,M,English,HRSB,F,,,,Yes,424,Level 2
2012-13,6,M,French Immersion,HRSB,F,,,,Yes,482,Level 3
2012-13,6,M,English,HRSB,M,,,,Yes,381,Level 2
2012-13,6,M,French Immersion,HRSB,F,,,,Yes,408,Level 2
2012-13,6,M,English,HRSB,F,,Yes,,No,,Did not participate
2012-13,6,M,English,HRSB,M,,Yes,,No,,Did not participate
2012-13,6,M,English,HRSB,M,,Yes,,No,,Did not participate
2012-13,6,M,English,CCRSB,M,,,Yes,No,,Did not participate
2012-13,6,M,English,HRSB,F,Yes,,,Yes,,Not enough evidence
2012-13,6,M,English,HRSB,F,,,,Yes,465,Level 3
2012-13,6,M,English,HRSB,F,,Yes,,No,,Did not participate
2012-13,6,M,French Immersion,HRSB,F,,,,Yes,574,Level 3
2012-13,6,M,English,AVRSB,M,,Yes,,No,,Did not participate
2012-13,6,M,English,HRSB,M,Yes,,,Yes,411,Level 2
2012-13,6,M,French Immersion,HRSB,F,,,,Yes,518,Level 3
2012-13,6,M,English,HRSB,F,,,,Yes,487,Level 3
2012-13,6,M,English,HRSB,M,,,,Yes,642,Level 4
2012-13,6,M,English,HRSB,M,,Yes,,No,,Did not participate
2012-13,6,M,English,HRSB,M,,,,Yes,536,Level 3
2012-13,6,M,English,HRSB,F,,,,Yes,523,Level 3
2012-13,6,M,English,HRSB,M,,,,Yes,498,Level 3
2012-13,6,M,English,HRSB,M,,Yes,,No,,Did not participate
2012-13,6,M,English,HRSB,M,,Yes,,No,,Did not participate
2012-13,6,M,English,CCRSB,M,,Yes,,No,,Did not participate
2012-13,6,M,English,HRSB,M,,Yes,,No,,Did not participate
2012-13,6,M,English,HRSB,F,Yes,,,Yes,502,Level 3
2012-13,6,M,English,HRSB,M,,,,Yes,374,Level 1
2012-13,6,M,English,TCRSB,M,,Yes,,No,,Did not participate
2012-13,6,M,French Immersion,HRSB,F,Yes,,,Yes,464,Level 3
2012-13,6,M,English,HRSB,M,,Yes,,No,,Did not participate
2012-13,6,M,English,HRSB,M,,Yes,,No,,Did not participate
2012-13,6,M,English,HRSB,F,,,,Yes,315,Level 1
2012-13,6,M,English,HRSB,F,,,,Yes,414,Level 2
2012-13,6,M,English,CCRSB,F,,,,Yes,389,Level 2
2012-13,6,M,English,CCRSB,M,Yes,,,Yes,512,Level 3
2012-13,6,M,English,CCRSB,M,,,,Yes,420,Level 2
2012-13,6,M,English,CCRSB,M,Yes,,,Yes,322,Level 1
2012-13,6,M,English,CCRSB,M,,,,Yes,384,Level 2
2012-13,6,M,English,AVRSB,M,,,Yes,No,,Did not participate
2012-13,6,M,English,HRSB,M,,,,Yes,476,Level 3
2012-13,6,M,English,HRSB,F,,,,Yes,334,Level 1
