VALUE;DATE;HOUR
526583;31.10.2010 0:00:00.000000;3
471157;25.10.2009 0:00:00.000000;3
405140;29.01.2010 0:00:00.000000;24
404220;29.01.2010 0:00:00.000000;23
400739;29.01.2010 0:00:00.000000;19
400384;29.01.2010 0:00:00.000000;20
399708;30.01.2010 0:00:00.000000;1
399214;29.01.2010 0:00:00.000000;22
396612;29.01.2010 0:00:00.000000;21
394508;30.12.2010 0:00:00.000000;17
392312;20.12.2010 0:00:00.000000;11
392219;30.12.2010 0:00:00.000000;18
391737;20.12.2010 0:00:00.000000;12
389515;30.12.2010 0:00:00.000000;12
389129;03.12.2010 0:00:00.000000;20
389023;30.12.2010 0:00:00.000000;16
388723;02.12.2010 0:00:00.000000;18
388375;03.12.2010 0:00:00.000000;21
388277;20.12.2010 0:00:00.000000;10
387964;02.12.2010 0:00:00.000000;17
387921;02.12.2010 0:00:00.000000;14
387447;30.12.2010 0:00:00.000000;13
387243;30.12.2010 0:00:00.000000;14
387200;30.12.2010 0:00:00.000000;11
386104;30.12.2010 0:00:00.000000;10
385660;30.01.2010 0:00:00.000000;13
385582;22.12.2010 0:00:00.000000;11
385488;21.12.2010 0:00:00.000000;15
385402;02.12.2010 0:00:00.000000;15
385399;30.12.2010 0:00:00.000000;15
385348;21.12.2010 0:00:00.000000;16
385152;30.12.2010 0:00:00.000000;19
385043;03.12.2010 0:00:00.000000;19
384953;21.12.2010 0:00:00.000000;18
384910;22.12.2010 0:00:00.000000;12
384539;21.12.2010 0:00:00.000000;19
384391;28.12.2010 0:00:00.000000;17
384219;29.12.2010 0:00:00.000000;19
383850;02.12.2010 0:00:00.000000;13
383740;29.01.2010 0:00:00.000000;18
383704;21.12.2010 0:00:00.000000;17
383528;29.12.2010 0:00:00.000000;20
383417;22.12.2010 0:00:00.000000;16
383268;29.12.2010 0:00:00.000000;18
382910;29.12.2010 0:00:00.000000;10
382834;17.12.2010 0:00:00.000000;10
382761;02.12.2010 0:00:00.000000;16
382724;29.12.2010 0:00:00.000000;14
382588;22.12.2010 0:00:00.000000;17
382459;22.12.2010 0:00:00.000000;15
382447;29.12.2010 0:00:00.000000;16
382397;29.12.2010 0:00:00.000000;22
382336;22.12.2010 0:00:00.000000;13
382277;20.12.2010 0:00:00.000000;9
382252;29.12.2010 0:00:00.000000;11
382141;22.12.2010 0:00:00.000000;10
382062;28.12.2010 0:00:00.000000;19
382032;22.12.2010 0:00:00.000000;18
381966;22.12.2010 0:00:00.000000;14
381960;29.12.2010 0:00:00.000000;17
381901;28.12.2010 0:00:00.000000;18
381796;29.12.2010 0:00:00.000000;13
381702;29.12.2010 0:00:00.000000;12
381253;29.12.2010 0:00:00.000000;21
381065;29.12.2010 0:00:00.000000;15
380983;07.12.2010 0:00:00.000000;17
380969;06.12.2010 0:00:00.000000;16
380925;10.12.2010 0:00:00.000000;17
380752;07.12.2010 0:00:00.000000;16
380620;10.12.2010 0:00:00.000000;18
380429;07.12.2010 0:00:00.000000;11
380428;30.01.2010 0:00:00.000000;2
380331;07.12.2010 0:00:00.000000;14
380105;09.12.2010 0:00:00.000000;12
380087;17.12.2010 0:00:00.000000;11
380065;07.12.2010 0:00:00.000000;10
380065;07.12.2010 0:00:00.000000;12
380005;07.12.2010 0:00:00.000000;15
379950;20.12.2010 0:00:00.000000;20
379801;28.12.2010 0:00:00.000000;20
379665;07.12.2010 0:00:00.000000;13
